Title,Description,Img_Link
Sky Rojo,"On the run from their pimp and his henchmen, three women embark on a wild and crazy journey in search of freedom.",https://www.themoviedb.org/t/p/w220_and_h330_face/lMJp1lqn6JA4uxIzsBQ79Pub5rv.jpg
The Tonight Show Starring Jimmy Fallon,"After Jay Leno's second retirement from the program, Jimmy Fallon stepped in as his permanent replacement. After 42 years in Los Angeles the program was brought back to New York.",https://www.themoviedb.org/t/p/w220_and_h330_face/if7ECoH4xaYw5S8gomNIEmtwTxP.jpg
Supernatural,"When they were boys, Sam and Dean Winchester lost their mother to a mysterious and demonic supernatural force. Subsequently, their father raised them to be soldiers. He taught them about the paranormal evil that lives in the dark corners and on the back roads of America ... and he taught them how to kill it. Now, the Winchester brothers crisscross the country in their '67 Chevy Impala, battling every kind of supernatural threat they encounter along the way.",https://www.themoviedb.org/t/p/w220_and_h330_face/KoYWXbnYuS3b0GyQPkbuexlVK9.jpg
Breaking Bad,"When Walter White, a New Mexico chemistry teacher, is diagnosed with Stage III cancer and given a prognosis of only two years left to live. He becomes filled with a sense of fearlessness and an unrelenting desire to secure his family's financial future at any cost as he enters the dangerous world of drugs and crime.",https://www.themoviedb.org/t/p/w220_and_h330_face/ggFHVNu6YYI5L9pCfOacjizRGt.jpg
Halo,"Depicting an epic 26th-century conflict between humanity and an alien threat known as the Covenant, the series weaves deeply drawn personal stories with action, adventure and a richly imagined vision of the future.",https://www.themoviedb.org/t/p/w220_and_h330_face/nJUHX3XL1jMkk8honUZnUmudFb9.jpg
Ghum Hai Kisi Ke Pyaar Mein,"Virat sacrifices his love to honour the promise he made to a dying man. Trapped between the past and the present, will he find love beyond the chains of duty?",https://www.themoviedb.org/t/p/w220_and_h330_face/uNjnoT3RChs2r7O9pDyx7TNBvIj.jpg
Stranger Things,"When a young boy vanishes, a small town uncovers a mystery involving secret experiments, terrifying supernatural forces, and one strange little girl.",https://www.themoviedb.org/t/p/w220_and_h330_face/49WJfeN0moxb9IPfGn8AIqMGskD.jpg
Love Is In The Air,"Eda, who ties all her hopes to her education, confronts Serkan Bolat, who cuts off her international education scholarship and leaves her with high school diploma. Serkan Bolat offers Eda to give her scholarship back if she pretends to be his fiance for two months. Although Eda rejects the offer of this man as she hates him, she has to accept it when the conditions change. While pretending to be engaged, Serkan and Eda begin to experience a passionate, challenging relationship that will make them forget all they know right. Because love is difficult. And that's why it's amazing.",https://www.themoviedb.org/t/p/w220_and_h330_face/bE71f9A3eztjcd5JT3MmHB8MbzA.jpg
SPY x FAMILY,"World peace is at stake and secret agent Twilight must undergo his most difficult mission yet—pretend to be a family man. Posing as a loving husband and father, he’ll infiltrate an elite school to get close to a high-profile politician. He has the perfect cover, except his wife’s a deadly assassin and neither knows each other’s identity. But someone does, his adopted daughter who’s a telepath!",https://www.themoviedb.org/t/p/w220_and_h330_face/3r4LYFuXrg3G8fepysr4xSLWnQL.jpg
The Blacklist,"Raymond ""Red"" Reddington, one of the FBI's most wanted fugitives, surrenders in person at FBI Headquarters in Washington, D.C. He claims that he and the FBI have the same interests: bringing down dangerous criminals and terrorists. In the last two decades, he's made a list of criminals and terrorists that matter the most but the FBI cannot find because it does not know they exist. Reddington calls this ""The Blacklist"". Reddington will co-operate, but insists that he will speak only to Elizabeth Keen, a rookie FBI profiler.",https://www.themoviedb.org/t/p/w220_and_h330_face/htJzeRcYI2ewMm4PTrg98UMXShe.jpg
Vikings: Valhalla,"In this sequel to ""Vikings,"" a hundred years have passed and a new generation of legendary heroes arises to forge its own destiny — and make history.",https://www.themoviedb.org/t/p/w220_and_h330_face/rDFy1fUU6OC3Mm0CLFB7u0fGwVN.jpg
The Vampire Diaries,"The story of two vampire brothers obsessed with the same girl, who bears a striking resemblance to the beautiful but ruthless vampire they knew and loved in 1864.",https://www.themoviedb.org/t/p/w220_and_h330_face/4RHhqEdI2VV5wHp0rLmKAg9t9h6.jpg
Money Heist: Korea - Joint Economic Area,"Disguised under the shadows of a mask, a crew of desperados band together under the leadership of a criminal mastermind known only as “The Professor” to pull off the biggest heist Korea has ever seen.",https://www.themoviedb.org/t/p/w220_and_h330_face/bnfTPTTytrZZ9Aw6hoOQdojiaKo.jpg
SashaTanya,"Sasha and Tanya have graduated and moved out of the dormitory. They now live with their son Alyosha in their own two-room apartment in the Moscow suburb of Yuzhnoe Butovo. And, boy, are their neighbors ever weird.",https://www.themoviedb.org/t/p/w220_and_h330_face/vhr2hhn1prew3yDFv4VswwFS3m3.jpg
The Peripheral,"Stuck in a small Appalachian town, a young woman’s only escape from the daily grind is playing advanced video games. She is such a good player that a company sends her a new video game system to test…but it has a surprise in store. It unlocks all of her dreams of finding a purpose, romance, and glamour in what seems like a game…but it also puts her and her family in real danger.",https://www.themoviedb.org/t/p/w220_and_h330_face/ccBe5BVeibdBEQU7l6P6BubajWV.jpg
Alice in Borderland,"With his two friends, a video-game-obsessed young man finds himself in a strange version of Tokyo where they must compete in dangerous games to win.",https://www.themoviedb.org/t/p/w220_and_h330_face/uFXEoVPENgKJrkxFWlOhNMDwlEk.jpg
Lady Voyeur,"A talented, voyeuristic hacker finds herself thrust into a dangerous investigation after her sex worker neighbor leaves for a weekend trip.",https://www.themoviedb.org/t/p/w220_and_h330_face/5BqzppbUELOLDUSuS8d9mWz97iH.jpg
1899,Passengers on an immigrant ship traveling to the new continent get caught in a mysterious riddle when they find a second vessel adrift on the open sea.,https://www.themoviedb.org/t/p/w220_and_h330_face/gZleGu1MQVBArH2dlpZ9CGi0hhy.jpg
The Daily Show with Trevor Noah,"Trevor Noah and The World's Fakest News Team tackle the biggest stories in news, politics and pop culture.",https://www.themoviedb.org/t/p/w220_and_h330_face/nz5fAg1OomLZ7fxiM4RnLbJxppc.jpg
Shark Tank India,Aspiring entrepreneurs from India pitch their business models to a panel of investors and persuade them to invest money in their idea.,https://www.themoviedb.org/t/p/w220_and_h330_face/iGw6R4e4G07xjffVifFLSN3dEAb.jpg
NCIS,"From murder and espionage to terrorism and stolen submarines, a team of special agents investigates any crime that has a shred of evidence connected to Navy and Marine Corps personnel, regardless of rank or position.",https://www.themoviedb.org/t/p/w220_and_h330_face/2exOHePjOTquUsbThPGhuEjYTyA.jpg
The Last Kingdom,"A show of heroic deeds and epic battles with a thematic depth that embraces politics, religion, warfare, courage, love, loyalty and our universal search for identity. Combining real historical figures and events with fictional characters, it is the story of how a people combined their strength under one of the most iconic kings of history in order to reclaim their land for themselves and build a place they call home.",https://www.themoviedb.org/t/p/w220_and_h330_face/8eJf0hxgIhE6QSxbtuNCekTddy1.jpg
Wheel of Fortune,"This game show sees contestants solve word puzzles, similar to those used in Hangman, to win cash and prizes determined by spinning a giant carnival wheel.",https://www.themoviedb.org/t/p/w220_and_h330_face/2fvAIyVfFHQdhJ7OsJWuMlF7836.jpg
Late Night with Seth Meyers,"Seth Meyers, who is ""Saturday Night Live’s"" longest serving anchor on the show’s wildly popular ""Weekend Update,"" takes over as host of NBC’s ""Late Night"" — home to A-list celebrity guests, memorable comedy and the best in musical talent. As the Emmy Award-winning head writer for ""SNL,"" Meyers has established a reputation for sharp wit and perfectly timed comedy, and has gained fame for his spot-on jokes and satire. Meyers takes his departure from ""SNL"" to his new post at ""Late Night,"" as Jimmy Fallon moves to ""The Tonight Show"".",https://www.themoviedb.org/t/p/w220_and_h330_face/x5asOuPOjW21e0Ykkvkuzu1TGEl.jpg
General Hospital,"Families, friends, enemies and lovers experience life-changing events in the large upstate New York city of Port Charles, which has a busy hospital, upscale hotel, cozy diner and dangerous waterfront frequented by the criminal underworld.",https://www.themoviedb.org/t/p/w220_and_h330_face/tYaWB1H4Isq4BoAjxFWMjhaEP9W.jpg
Chucky,"After a vintage Chucky doll turns up at a suburban yard sale, an idyllic American town is thrown into chaos as a series of horrifying murders begin to expose the town’s hypocrisies and secrets. Meanwhile, the arrival of enemies — and allies — from Chucky’s past threatens to expose the truth behind the killings, as well as the demon doll’s untold origins.",https://www.themoviedb.org/t/p/w220_and_h330_face/kY0BogCM8SkNJ0MNiHB3VTM86Tz.jpg
